Submission ID	Issue Number	URL	Status	Title	Submitted By	Submitted At
42	1137	https://github.com/cBioPortal/datahub/issues/1137	Awaiting Review	Zviran et al. Genome-wide cell-free DNA mutational integration enables ultra-sensitive cancer monitoring. Nat Med 2020	jjgao	2020-06-01 21:08:13
43	1136	https://github.com/cBioPortal/datahub/issues/1136	Not Curatable	Ally et al. Comprehensive and Integrative Genomic Characterization of Hepatocellular Carcinoma	ritikakundra	2020-06-01 19:37:29
44	1124	https://github.com/cBioPortal/datahub/issues/1124	Awaiting Review	datasets of somatic alterations in non-/pre-malignant samples	jjgao	2020-05-18 21:50:59
45	1121	https://github.com/cBioPortal/datahub/issues/1121	Clarification Needed	Hu et al. Multi-cancer analysis of clonality and the timing of systemic spread in paired primary tumors and metastases. Nature Genetics 2020.	jjgao	2020-05-18 18:02:30
46	1120	https://github.com/cBioPortal/datahub/issues/1120	Awaiting Review	Cui et al. Whole-genome sequencing of 508 patients identifies key molecular features associated with poor prognosis in esophageal squamous cell carcinoma. Cell research 2020.	jjgao	2020-05-18 12:12:44
47	1100	https://github.com/cBioPortal/datahub/issues/1100	Released	Touat  et al. Mechanisms and therapeutic implications of hypermutation in gliomas. Nature 2020.	jjgao	2020-04-17 21:21:34
48	1097	https://github.com/cBioPortal/datahub/issues/1097	Initial Review	Lee et al. Molecular Analysis of Clinically Defined Subsets of High-Grade Serous Ovarian Cancer. Cell Report. 2020.	jjgao	2020-04-14 22:31:06
49	1080	https://github.com/cBioPortal/datahub/issues/1080	Released	Like et al. A genomic and epigenomic atlas of prostate cancer in Asian populations. Nature 2020.	jjgao	2020-03-26 02:30:39
50	1076	https://github.com/cBioPortal/datahub/issues/1076	Curation in Progress	Shih et al. Genomic characterization of human brain metastases identifies drivers of metastatic lung adenocarcinoma. Nature Genetics 2020	jjgao	2020-03-24 02:25:58
51	1065	https://github.com/cBioPortal/datahub/issues/1065	Initial Review	CPTAC. Proteogenomic Characterization of Endometrial Carcinoma. Cell 2020.	jjgao	2020-03-08 14:39:44
52	999	https://github.com/cBioPortal/datahub/issues/999	Released	Moding et al. Circulating tumor DNA dynamics predict benefit from consolidation immunotherapy in locally advanced non-small-cell lung cancer. Nature Cancer. 2020.	jjgao	2020-01-27 17:32:17
53	798	https://github.com/cBioPortal/datahub/issues/798	Not Curatable	Jonsson et al. Tumour lineage shapes BRCA-mediated phenotypes. Nature 2019.	jjgao	2019-08-02 01:26:30
54	416	https://github.com/cBioPortal/datahub/issues/416	Clarification Needed	Klijn et al. A comprehensive transcriptional portrait of human cancer cell lines. Nat Biotechnol. 2014	jjgao	2018-10-23 03:36:55
55	380	https://github.com/cBioPortal/datahub/issues/380	Awaiting Review	Xiaotu et al., Pan-cancer genome and transcriptome analyses of 1,699 pediatric leukemia’s and solid tumors, Nature 2018	rmadupuri	2018-09-28 20:21:21
56	303	https://github.com/cBioPortal/datahub/issues/303	Initial Review	DGSC cell line data	jjgao	2018-08-13 18:40:34
57	202	https://github.com/cBioPortal/datahub/issues/202	Awaiting Review	TRACERx Renal dataset	jjgao	2018-04-30 01:24:13
