"ATTR_VALUE","SAMPLE_COUNT","STUDY_COUNT"
"Intraductal Papillary Mucinous Neoplasm",9,1
"Lymphoid Neoplasm",9,1
"Non-Small Cell Lung",9,1
"Acute Leukemias of Ambiguous Lineage",8,1
"Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach",8,3
"Other Cancer",8,2
"Thyroid Cancer, NOS",8,1
"Breast Invasive Ductal Carcinoma",7,1
"Kidney Cancer, NOS",7,1
"Liver Tumor",7,1
"Mantle Cell Lymphoma",7,1
"Small Cell Carcinoma of  Gallbladder",6,1
"Soft Tissue Cancer, NOS",6,2
"Burkitt Lymphoma",5,1
"Poorly Differentiated NEC",5,1
"Renal cancer",5,1
"Soft Tissue Cancer",5,1
"Soft Tissue Tumor",5,1
"Undifferentiated Embryonal Sarcoma of the Liver",5,3
"Adrenocortical Adenoma",4,3
"Angiomatoid Fibrous Histiocytoma",4,2
"Combined Small Cell Lung Carcinoma",4,3
"Ependymomal Tumor",4,1
"Head and Neck Cancer, NOS",4,1
"Large Cell Neuroendocrine Carcinoma",4,2
"NASkin Cancer, Non-MelanomaNA",4,1
"Posttransplant Lymphoproliferative Disorders",4,2
"Adenocarcinoma In Situ",3,1
"Atypical Lung Carcinoid",3,1
"Endocervical Adenocarcinoma",3,1
"Esophageal/Stomach Cancer, NOS",3,2
"Myeloproliferative Workup",3,2
"Parathyroid Cancer",3,1
"Biliary Tract Cancer, NOS",2,2
"Breast Invasive Carcinoma, NOS",2,1
"Cervical Adenosquamous Carcinoma",2,1
"Encapsulated Glioma",2,1
"Hepatoblastoma",2,1
"Lacrimal Gland Tumor",2,2
"Large Cell Lung Carcinoma",2,2
"Melanocytoma",2,2
"Myeloid Neoplasms with Germ Line Predisposition",2,1
"Adenosarcoma",1,1
"Adrenal Tumor",1,1
"Bladder/Urinary Tract Cancer, NOS",1,1
"Bowel Cancer, NOS",1,1
"Clear Cell Sarcoma of Kidney",1,1
"Cutaneous malignancy of hair matrix cells",1,1
"Fibrosarcoma",1,1
"Hemophagocytic Lymphohistiocytosis",1,1
"Hodgkin Lymphoma-like PTLD",1,1
"Intestinal Type Mucinous Carcinoma",1,1
"Lung Neuroendocrine Tumor",1,1
"Lymphoid Cancer",1,1
"Mucinous Adenocarcinoma Lymph Node",1,1
"Myelodysplastic Workup",1,1
"NALymphatic Cancer, NOSNA",1,1
"NAPeritoneal Cancer, NOSNA",1,1
"Nested stromal epithelial tumor of the liver",1,1
"Non-Germinomatous Germ Cell Tumor",1,1
"Ovarian Germ Cell Tumor",1,1
"Pancreatic Cancer, NOS",1,1
"Peritoneal Cancer, NOS",1,1
"Pleural Cancer, NOS",1,1
"Poorly Differentiated Non-Small Cell Lung Cancer",1,1
"Renal Neuroendocrine Tumor",1,1
"Salivary Gland-Type Tumor of the Lung",1,1
"Small Cell Carcinoma of the Cervix",1,1
"Teratoma with Malignant Transformation",1,1
"Vulvar/Vaginal Cancer, NOS",1,1
